Number,created_on,resolved_at,Assignment group,mttr_minutes,sla_met,sla_status,sla_threshold_minutes
INC48266254,2025-06-26 07:48:44,2025-06-26 07:49:00,AEDT - Enterprise Tech Spot - Jst,0.26666666666666666,True,SLA Met,3
INC48266091,2025-06-26 07:41:34,2025-06-26 07:46:51,AEDT - Enterprise Tech Spot - DGTC,5.283333333333333,False,SLA Breach,3
INC48265822,2025-06-26 07:27:34,2025-06-26 07:31:05,AEDT - Enterprise Tech Spot - Hula,3.5166666666666666,False,SLA Breach,3
INC48265796,2025-06-26 07:26:38,2025-06-26 07:28:59,AEDT - Enterprise Tech Spot - Hula,2.35,True,SLA Met,3
INC48265788,2025-06-26 07:26:12,2025-06-26 07:30:20,AEDT - Enterprise Tech Spot - DGTC,4.133333333333334,False,SLA Breach,3
INC48265668,2025-06-26 07:19:23,2025-06-26 07:20:30,AEDT - Enterprise Tech Spot - Hula,1.1166666666666667,True,SLA Met,3
INC48265594,2025-06-26 07:15:26,2025-06-26 07:18:38,AEDT - Enterprise Tech Spot - DGTC,3.2,False,SLA Breach,3
INC48265588,2025-06-26 07:15:08,2025-06-26 07:21:56,ADE - Enterprise Tech Spot - IDC Pardhanani,6.8,False,SLA Breach,3
INC48265323,2025-06-26 07:01:11,2025-06-26 07:10:08,AEDT - Enterprise Tech Spot - DGTC,8.95,False,SLA Breach,3
INC48265318,2025-06-26 07:00:56,2025-06-26 07:23:34,AEDT - Enterprise Tech Spot - DGTC,22.633333333333333,False,SLA Breach,3
INC48265224,2025-06-26 06:55:51,2025-06-26 06:59:28,AEDT - Enterprise Tech Spot - DGTC,3.6166666666666667,False,SLA Breach,3
INC48265201,2025-06-26 06:54:55,2025-06-26 07:01:09,AEDT - Enterprise Tech Spot - Hula,6.233333333333333,False,SLA Breach,3
INC48265077,2025-06-26 06:48:25,2025-06-26 07:12:02,ADE - Enterprise Tech Spot - IDC Pardhanani,23.616666666666667,False,SLA Breach,3
INC48264840,2025-06-26 06:33:54,2025-06-26 06:41:05,AEDT - Enterprise Tech Spot - Hula,7.183333333333334,False,SLA Breach,3
INC48264680,2025-06-26 06:23:11,2025-06-26 06:27:28,AEDT - Enterprise Tech Spot - DGTC,4.283333333333333,False,SLA Breach,3
INC48264677,2025-06-26 06:23:06,2025-06-26 06:24:56,AEDT - Enterprise Tech Spot - Jst,1.8333333333333333,True,SLA Met,3
INC48264390,2025-06-26 06:08:23,2025-06-26 06:12:39,AEDT - Enterprise Tech Spot - DGTC,4.266666666666667,False,SLA Breach,3
INC48264098,2025-06-26 05:50:31,2025-06-26 07:04:20,ADE - Enterprise Tech Spot - IDC RMZ,73.81666666666666,False,SLA Breach,3
INC48262985,2025-06-26 03:55:06,2025-06-26 04:35:14,ADE - Enterprise Tech Spot - IDC PTPP1,40.13333333333333,False,SLA Breach,3
INC48262885,2025-06-26 03:39:42,2025-06-26 03:54:16,ADE - Enterprise Tech Spot - IDC Pardhanani,14.566666666666666,False,SLA Breach,3
INC48262873,2025-06-26 03:37:56,2025-06-26 03:49:04,ADE - Enterprise Tech Spot - IDC PTPP1,11.133333333333333,False,SLA Breach,3
INC48262813,2025-06-26 03:31:14,2025-06-26 03:40:30,ADE - Enterprise Tech Spot - IDC PTPP1,9.266666666666667,False,SLA Breach,3
INC48262350,2025-06-26 02:26:37,2025-06-26 04:31:45,ADE - Enterprise Tech Spot - IDC RMZ,125.13333333333334,False,SLA Breach,3
INC48262166,2025-06-26 02:06:03,2025-06-26 02:06:41,ADE - Enterprise Tech Spot - IDC PTPP1,0.6333333333333333,True,SLA Met,3
INC48262091,2025-06-26 01:59:16,2025-06-26 02:24:29,ADE - Enterprise Tech Spot - IDC Pardhanani,25.216666666666665,False,SLA Breach,3
INC48261974,2025-06-26 01:43:11,2025-06-26 02:26:43,ADE - Enterprise Tech Spot - IDC Pardhanani,43.53333333333333,False,SLA Breach,3
INC48261830,2025-06-26 01:24:29,2025-06-26 04:47:18,ADE - Enterprise Tech Spot - IDC Building 10,202.81666666666666,False,SLA Breach,3
INC48261665,2025-06-26 01:04:06,2025-06-26 01:17:54,ADE - Enterprise Tech Spot - IDC PTPP1,13.8,False,SLA Breach,3
INC48261392,2025-06-26 00:27:47,2025-06-26 00:50:29,ADE - Enterprise Tech Spot 2 - IDC PTP1 ,22.7,False,SLA Breach,3
INC48260429,2025-06-25 22:26:02,2025-06-25 23:03:54,ADE - Enterprise Tech Spot - IDC RMZ,37.86666666666667,False,SLA Breach,3
INC48260328,2025-06-25 22:20:32,2025-06-25 22:29:44,ADE - Enterprise Tech Spot - IDC PTPP1,9.2,False,SLA Breach,3
INC48260166,2025-06-25 22:02:24,2025-06-25 22:32:12,ADE - Enterprise Tech Spot 2 - IDC PTP1 ,29.8,False,SLA Breach,3
INC48259828,2025-06-25 21:15:40,2025-06-25 21:47:41,ADE - Enterprise Tech Spot 2 - IDC PTP1 ,32.016666666666666,False,SLA Breach,3
INC48259395,2025-06-25 20:15:56,2025-06-25 20:41:31,ADE - Enterprise Tech Spot - IDC Pardhanani,25.583333333333332,False,SLA Breach,3
INC48256929,2025-06-25 16:26:48,2025-06-25 16:28:40,AEDT - Enterprise Tech Spot - San Bruno,1.8666666666666667,True,SLA Met,3
INC48256480,2025-06-25 15:44:11,2025-06-25 15:48:52,AEDT - Enterprise Tech Spot - San Bruno,4.683333333333334,False,SLA Breach,3
INC48256170,2025-06-25 15:20:52,2025-06-25 15:22:23,AEDT - Enterprise Tech Spot - San Bruno,1.5166666666666666,True,SLA Met,3
INC48256115,2025-06-25 15:16:10,2025-06-25 15:16:36,AEDT - Enterprise Tech Spot - Homeoffice,0.43333333333333335,True,SLA Met,3
INC48255540,2025-06-25 14:37:40,2025-06-25 14:38:11,AEDT - Enterprise Tech Spot - Sunnyvale,0.5166666666666667,True,SLA Met,3
INC48255407,2025-06-25 14:29:04,2025-06-25 14:29:19,AEDT - Enterprise Tech Spot - Homeoffice,0.25,True,SLA Met,3
INC48255369,2025-06-25 14:25:56,2025-06-25 14:34:44,AEDT - Enterprise Tech Spot - DGTC,8.8,False,SLA Breach,3
INC48255056,2025-06-25 14:10:09,2025-06-25 14:12:32,AEDT - Enterprise Tech Spot - Sam's Club,2.3833333333333333,True,SLA Met,3
INC48255012,2025-06-25 14:07:53,2025-06-25 14:11:33,AEDT - Enterprise Tech Spot - DGTC,3.6666666666666665,False,SLA Breach,3
INC48254933,2025-06-25 14:02:39,2025-06-25 14:03:54,AEDT - Enterprise Tech Spot - Jst,1.25,True,SLA Met,3
INC48254878,2025-06-25 13:59:06,2025-06-25 15:10:49,AEDT - Enterprise Tech Spot - Seattle,71.71666666666667,False,SLA Breach,3
INC48254868,2025-06-25 13:58:35,2025-06-25 14:07:19,AEDT - Enterprise Tech Spot - Homeoffice,8.733333333333333,False,SLA Breach,3
INC48254834,2025-06-25 13:56:38,2025-06-25 14:04:15,AEDT - Enterprise Tech Spot - DGTC,7.616666666666666,False,SLA Breach,3
INC48254584,2025-06-25 13:43:10,2025-06-25 13:43:55,AEDT - Enterprise Tech Spot - Sunnyvale,0.75,True,SLA Met,3
INC48254520,2025-06-25 13:39:05,2025-06-25 13:40:17,AEDT - Enterprise Tech Spot - Jst,1.2,True,SLA Met,3
INC48254420,2025-06-25 13:34:01,2025-06-25 13:34:15,AEDT - Enterprise Tech Spot - Sam's Club,0.23333333333333334,True,SLA Met,3
INC48254393,2025-06-25 13:31:52,2025-06-25 13:32:53,AEDT - Enterprise Tech Spot - Jst,1.0166666666666666,True,SLA Met,3
INC48254340,2025-06-25 13:28:40,2025-06-25 13:30:52,AEDT - Enterprise Tech Spot - San Bruno,2.2,True,SLA Met,3
INC48254251,2025-06-25 13:24:24,2025-06-25 13:26:14,AEDT - Enterprise Tech Spot - Jst,1.8333333333333333,True,SLA Met,3
INC48254158,2025-06-25 13:19:41,2025-06-25 13:28:55,AEDT - Enterprise Tech Spot - Sam's Club,9.233333333333333,False,SLA Breach,3
INC48254133,2025-06-25 13:18:16,2025-06-25 13:22:01,AEDT - Enterprise Tech Spot - Los Angeles,3.75,False,SLA Breach,3
INC48253958,2025-06-25 13:06:36,2025-06-25 13:24:51,AEDT - Enterprise Tech Spot - DGTC,18.25,False,SLA Breach,3
INC48253756,2025-06-25 12:54:21,2025-06-25 12:57:07,AEDT - Enterprise Tech Spot - Herndon,2.7666666666666666,True,SLA Met,3
INC48253647,2025-06-25 12:48:23,2025-06-25 12:49:32,AEDT - Enterprise Tech Spot - Sunnyvale,1.15,True,SLA Met,3
INC48253506,2025-06-25 12:40:52,2025-06-25 12:58:57,AEDT - Enterprise Tech Spot - DGTC,18.083333333333332,False,SLA Breach,3
INC48253494,2025-06-25 12:39:57,2025-06-25 12:43:27,AEDT - Enterprise Tech Spot - Seattle,3.5,False,SLA Breach,3
INC48253478,2025-06-25 12:39:08,2025-06-25 12:39:33,AEDT - Enterprise Tech Spot - Purpose,0.4166666666666667,True,SLA Met,3
INC48253443,2025-06-25 12:36:49,2025-06-25 12:37:27,AEDT - Enterprise Tech Spot - Sunnyvale,0.6333333333333333,True,SLA Met,3
INC48253289,2025-06-25 12:28:21,2025-06-25 12:31:19,AEDT - Enterprise Tech Spot - DGTC,2.966666666666667,True,SLA Met,3
INC48253253,2025-06-25 12:25:51,2025-06-25 12:30:11,AEDT - Enterprise Tech Spot - Sunnyvale,4.333333333333333,False,SLA Breach,3
INC48253249,2025-06-25 12:25:46,2025-06-25 12:31:00,AEDT - Enterprise Tech Spot - Los Angeles,5.233333333333333,False,SLA Breach,3
INC48253095,2025-06-25 12:17:25,2025-06-25 12:19:33,AEDT - Enterprise Tech Spot - Purpose,2.1333333333333333,True,SLA Met,3
INC48252956,2025-06-25 12:10:44,2025-06-25 12:11:24,AEDT - Enterprise Tech Spot - Purpose,0.6666666666666666,True,SLA Met,3
INC48252913,2025-06-25 12:08:05,2025-06-25 12:24:30,AEDT - Enterprise Tech Spot - Sunnyvale,16.416666666666668,False,SLA Breach,3
INC48252328,2025-06-25 11:33:24,2025-06-25 13:19:08,AEDT - Enterprise Tech Spot - Jst,105.73333333333333,False,SLA Breach,3
INC48252252,2025-06-25 11:29:25,2025-06-25 11:39:02,AEDT - Enterprise Tech Spot - Sunnyvale,9.616666666666667,False,SLA Breach,3
INC48252150,2025-06-25 11:24:02,2025-06-25 11:24:24,AEDT - Enterprise Tech Spot - DGTC,0.36666666666666664,True,SLA Met,3
INC48251967,2025-06-25 11:12:53,2025-06-25 11:15:05,AEDT - Enterprise Tech Spot - Hoboken,2.2,True,SLA Met,3
INC48251813,2025-06-25 11:03:36,2025-06-25 11:05:10,AEDT - Enterprise Tech Spot - Homeoffice,1.5666666666666667,True,SLA Met,3
INC48251783,2025-06-25 11:02:14,2025-06-25 11:02:54,AEDT - Enterprise Tech Spot - Hoboken,0.6666666666666666,True,SLA Met,3
INC48251730,2025-06-25 11:00:25,2025-06-25 11:04:28,AEDT - Enterprise Tech Spot - Sunnyvale,4.05,False,SLA Breach,3
INC48251598,2025-06-25 10:53:19,2025-06-25 10:56:34,AEDT - Enterprise Tech Spot - DGTC,3.25,False,SLA Breach,3
INC48251467,2025-06-25 10:46:59,2025-06-25 10:54:54,AEDT - Enterprise Tech Spot - Sunnyvale,7.916666666666667,False,SLA Breach,3
INC48251207,2025-06-25 10:33:19,2025-06-25 10:36:07,AEDT - Enterprise Tech Spot - Seattle,2.8,True,SLA Met,3
INC48250544,2025-06-25 09:57:16,2025-06-25 11:27:46,AEDT - Enterprise Tech Spot - DGTC,90.5,False,SLA Breach,3
INC48250528,2025-06-25 09:56:10,2025-06-25 10:13:41,AEDT - Enterprise Tech Spot - Homeoffice,17.516666666666666,False,SLA Breach,3
INC48250172,2025-06-25 09:36:30,2025-06-25 09:38:06,AEDT - Enterprise Tech Spot - DGTC,1.6,True,SLA Met,3
INC48250103,2025-06-25 09:33:15,2025-06-25 09:34:12,AEDT - Enterprise Tech Spot - Homeoffice,0.95,True,SLA Met,3
INC48250086,2025-06-25 09:32:22,2025-06-25 09:32:42,AEDT - Enterprise Tech Spot - Jst,0.3333333333333333,True,SLA Met,3
INC48249973,2025-06-25 09:27:49,2025-06-25 09:28:16,AEDT - Enterprise Tech Spot - Jst,0.45,True,SLA Met,3
INC48249923,2025-06-25 09:25:54,2025-06-25 09:30:41,AEDT - Enterprise Tech Spot - DGTC,4.783333333333333,False,SLA Breach,3
INC48249830,2025-06-25 09:20:54,2025-06-25 09:58:08,AEDT - Enterprise Tech Spot - Hula,37.233333333333334,False,SLA Breach,3
INC48249748,2025-06-25 09:16:45,2025-06-25 09:20:50,AEDT - Enterprise Tech Spot - Sam's Club,4.083333333333333,False,SLA Breach,3
INC48249540,2025-06-25 09:06:59,2025-06-25 09:11:42,AEDT - Enterprise Tech Spot - Hula,4.716666666666667,False,SLA Breach,3
INC48249474,2025-06-25 09:02:58,2025-06-25 09:43:45,ADE - Enterprise Tech Spot - IDC Pardhanani,40.78333333333333,False,SLA Breach,3
INC48249464,2025-06-25 09:02:45,2025-06-25 09:04:36,AEDT - Enterprise Tech Spot - Purpose,1.85,True,SLA Met,3
INC48249320,2025-06-25 08:56:52,2025-06-25 08:58:04,AEDT - Enterprise Tech Spot - Purpose,1.2,True,SLA Met,3
INC48249019,2025-06-25 08:42:35,2025-06-25 08:45:35,AEDT - Enterprise Tech Spot - Jst,3.0,True,SLA Met,3
INC48248854,2025-06-25 08:34:37,2025-06-25 08:38:33,AEDT - Enterprise Tech Spot - Jst,3.933333333333333,False,SLA Breach,3
INC48248721,2025-06-25 08:28:03,2025-06-25 08:32:33,AEDT - Enterprise Tech Spot - Sam's Club,4.5,False,SLA Breach,3
INC48248705,2025-06-25 08:27:18,2025-06-25 08:36:03,AEDT - Enterprise Tech Spot - Sunnyvale,8.75,False,SLA Breach,3
INC48248613,2025-06-25 08:23:19,2025-06-26 06:19:40,AEDT - Enterprise Tech Spot - DGTC,1316.35,False,SLA Breach,3
INC48248402,2025-06-25 08:13:05,2025-06-25 08:20:10,AEDT - Enterprise Tech Spot - Homeoffice,7.083333333333333,False,SLA Breach,3
INC48248356,2025-06-25 08:10:38,2025-06-25 08:11:09,AEDT - Enterprise Tech Spot - Hula,0.5166666666666667,True,SLA Met,3
INC48248080,2025-06-25 07:58:32,2025-06-25 07:58:58,AEDT - Enterprise Tech Spot - Jst,0.43333333333333335,True,SLA Met,3
INC48248075,2025-06-25 07:58:23,2025-06-25 08:14:57,AEDT - Enterprise Tech Spot - Jst,16.566666666666666,False,SLA Breach,3
INC48248072,2025-06-25 07:58:04,2025-06-25 08:00:49,AEDT - Enterprise Tech Spot - DGTC,2.75,True,SLA Met,3
INC48247790,2025-06-25 07:44:14,2025-06-25 07:46:13,AEDT - Enterprise Tech Spot - Hoboken,1.9833333333333334,True,SLA Met,3
INC48247682,2025-06-25 07:38:42,2025-06-25 07:44:01,AEDT - Enterprise Tech Spot - DGTC,5.316666666666666,False,SLA Breach,3
INC48247434,2025-06-25 07:28:59,2025-06-25 07:29:52,AEDT - Enterprise Tech Spot - Hoboken,0.8833333333333333,True,SLA Met,3
INC48247252,2025-06-25 07:22:53,2025-06-25 07:24:55,AEDT - Enterprise Tech Spot - DGTC,2.033333333333333,True,SLA Met,3
INC48247246,2025-06-25 07:22:34,2025-06-25 09:32:32,ADE - Enterprise Tech Spot - IDC Pardhanani,129.96666666666667,False,SLA Breach,3
INC48247150,2025-06-25 07:18:01,2025-06-25 07:20:40,AEDT - Enterprise Tech Spot - Hoboken,2.65,True,SLA Met,3
INC48247032,2025-06-25 07:12:49,2025-06-25 07:36:35,ADE - Enterprise Tech Spot - IDC Pardhanani,23.766666666666666,False,SLA Breach,3
INC48247003,2025-06-25 07:10:55,2025-06-25 07:11:44,AEDT - Enterprise Tech Spot - Purpose,0.8166666666666667,True,SLA Met,3
INC48246920,2025-06-25 07:06:24,2025-06-25 07:15:33,AEDT - Enterprise Tech Spot - DGTC,9.15,False,SLA Breach,3
INC48246846,2025-06-25 07:02:40,2025-06-25 07:03:14,AEDT - Enterprise Tech Spot - DGTC,0.5666666666666667,True,SLA Met,3
INC48246376,2025-06-25 06:40:15,2025-06-25 06:50:09,AEDT - Enterprise Tech Spot - Hula,9.9,False,SLA Breach,3
INC48246360,2025-06-25 06:39:26,2025-06-25 06:42:41,AEDT - Enterprise Tech Spot - Homeoffice,3.25,False,SLA Breach,3
INC48246236,2025-06-25 06:34:31,2025-06-25 06:34:43,AEDT - Enterprise Tech Spot - Sam's Club,0.2,True,SLA Met,3
INC48246192,2025-06-25 06:32:05,2025-06-25 06:32:53,AEDT - Enterprise Tech Spot - Homeoffice,0.8,True,SLA Met,3
INC48245941,2025-06-25 06:19:15,2025-06-25 06:27:20,AEDT - Enterprise Tech Spot - DGTC,8.083333333333334,False,SLA Breach,3
INC48245797,2025-06-25 06:10:57,2025-06-25 06:27:55,ADE - Enterprise Tech Spot - IDC Pardhanani,16.966666666666665,False,SLA Breach,3
INC48245741,2025-06-25 06:07:57,2025-06-25 06:08:51,AEDT - Enterprise Tech Spot - Homeoffice,0.9,True,SLA Met,3
INC48245597,2025-06-25 06:04:55,2025-06-25 07:22:14,AEDT - Enterprise Tech Spot - Jst,77.31666666666666,False,SLA Breach,3
INC48245358,2025-06-25 05:48:29,2025-06-25 07:16:33,ADE - Enterprise Tech Spot - IDC Pardhanani,88.06666666666666,False,SLA Breach,3
INC48245347,2025-06-25 05:47:49,2025-06-25 06:00:22,AEDT - Enterprise Tech Spot - Jst,12.55,False,SLA Breach,3
INC48244746,2025-06-25 05:08:54,2025-06-25 05:22:03,ADE - Enterprise Tech Spot - IDC Pardhanani,13.15,False,SLA Breach,3
INC48244427,2025-06-25 04:36:00,2025-06-25 05:39:53,ADE - Enterprise Tech Spot - IDC Pardhanani,63.88333333333333,False,SLA Breach,3
INC48244382,2025-06-25 04:31:37,2025-06-25 05:12:32,ADE - Enterprise Tech Spot - IDC RMZ,40.916666666666664,False,SLA Breach,3
INC48244168,2025-06-25 04:06:04,2025-06-25 04:14:53,ADE - Enterprise Tech Spot - IDC PTPP1,8.816666666666666,False,SLA Breach,3
INC48244063,2025-06-25 03:45:49,2025-06-25 03:56:05,ADE - Enterprise Tech Spot - IDC Pardhanani,10.266666666666667,False,SLA Breach,3
INC48244045,2025-06-25 03:43:05,2025-06-25 03:55:28,ADE - Enterprise Tech Spot - IDC PTPP1,12.383333333333333,False,SLA Breach,3
INC48243890,2025-06-25 03:17:10,2025-06-25 03:39:00,ADE - Enterprise Tech Spot - IDC PTPP1,21.833333333333332,False,SLA Breach,3
INC48243719,2025-06-25 02:52:25,2025-06-25 03:11:58,ADE - Enterprise Tech Spot - IDC PTPP1,19.55,False,SLA Breach,3
INC48243618,2025-06-25 02:36:50,2025-06-25 02:48:45,ADE - Enterprise Tech Spot - IDC PTPP1,11.916666666666666,False,SLA Breach,3
INC48243521,2025-06-25 02:22:08,2025-06-25 02:27:01,ADE - Enterprise Tech Spot - IDC PTPP1,4.883333333333334,False,SLA Breach,3
INC48243515,2025-06-25 02:21:24,2025-06-25 02:57:11,ADE - Enterprise Tech Spot 2 - IDC PTP1 ,35.78333333333333,False,SLA Breach,3
INC48243473,2025-06-25 02:15:15,2025-06-25 03:34:10,ADE - Enterprise Tech Spot - IDC Pardhanani,78.91666666666667,False,SLA Breach,3
INC48243386,2025-06-25 02:08:31,2025-06-25 02:13:12,ADE - Enterprise Tech Spot - IDC PTPP1,4.683333333333334,False,SLA Breach,3
INC48243321,2025-06-25 02:04:05,2025-06-25 02:35:04,ADE - Enterprise Tech Spot - IDC Building 10,30.983333333333334,False,SLA Breach,3
INC48243196,2025-06-25 01:51:21,2025-06-25 02:47:39,ADE - Enterprise Tech Spot - IDC Building 10,56.3,False,SLA Breach,3
INC48243189,2025-06-25 01:50:20,2025-06-25 02:03:53,ADE - Enterprise Tech Spot - IDC PTPP1,13.55,False,SLA Breach,3
INC48243171,2025-06-25 01:47:02,2025-06-25 01:47:38,ADE - Enterprise Tech Spot - IDC PTPP1,0.6,True,SLA Met,3
INC48242980,2025-06-25 01:18:10,2025-06-25 01:51:03,ADE - Enterprise Tech Spot - IDC Building 10,32.88333333333333,False,SLA Breach,3
INC48242740,2025-06-25 00:49:34,2025-06-25 00:59:43,ADE - Enterprise Tech Spot - IDC PTPP1,10.15,False,SLA Breach,3
INC48242538,2025-06-25 00:19:25,2025-06-25 00:57:03,ADE - Enterprise Tech Spot - IDC Building 10,37.63333333333333,False,SLA Breach,3
